=== Heap Fragmentation Log ===
Date/Time: 2026-01-17 12:10:14
Timestamp: 389699 ms
Current Heap: free=70192, largestBlock=23540 (33.5%), freeBlocks=20
Baseline: largestBlock=233460 (set 388593 ms ago)
Degradation: 209920 bytes (89.9% loss from baseline)

=== Recent Operations (last 300) ===
[  389093] WebClientModule:346  | WebClient::accessResource      | heap= 71128, largest= 23540 (33.1%)
[  389094] WeatherModule.c:138  | WeatherModule::queueData       | heap= 71208, largest= 23540 (33.1%)
[  389094] WebClientModule:346  | WebClient::accessResource      | heap= 70532, largest= 23540 (33.4%)
[  389094] ThemeParkModule:154  | ThemeParkModule::queueData     | heap= 71208, largest= 23540 (33.1%)
[  389096] TankerkoenigMod:240  | Tankerkoenig::processData      | heap= 71208, largest= 23540 (33.1%)
[  389096] DartsRankingMod:448  | DartsRankingModule::processData | heap= 71208, largest= 23540 (33.1%)
[  389096] SofaScoreLiveMo:821  | SofaScore::processData         | heap= 71208, largest= 23540 (33.1%)
[  389096] CalendarModule.:112  | CalendarModule::processData    | heap= 71208, largest= 23540 (33.1%)
[  389097] CuriousHolidays:368  | CuriousHolidaysModule::processD | heap= 71208, largest= 23540 (33.1%)
[  389097] WeatherModule.c:204  | WeatherModule::processData     | heap= 71208, largest= 23540 (33.1%)
[  389097] ThemeParkModule:304  | ThemeParkModule::processData   | heap= 71208, largest= 23540 (33.1%)
[  389108] TankerkoenigMod:222  | Tankerkoenig::queueData        | heap= 71208, largest= 23540 (33.1%)
[  389109] WebClientModule:346  | WebClient::accessResource      | heap= 70676, largest= 23540 (33.3%)
[  389109] DartsRankingMod:411  | DartsRankingModule::queueData  | heap= 71208, largest= 23540 (33.1%)
[  389109] WebClientModule:346  | WebClient::accessResource      | heap= 71160, largest= 23540 (33.1%)
[  389109] WebClientModule:346  | WebClient::accessResource      | heap= 71144, largest= 23540 (33.1%)
[  389110] SofaScoreLiveMo:646  | SofaScore::queueData           | heap= 71208, largest= 23540 (33.1%)
[  389110] WebClientModule:346  | WebClient::accessResource      | heap= 71128, largest= 23540 (33.1%)
[  389110] WebClientModule:346  | WebClient::accessResource      | heap= 71112, largest= 23540 (33.1%)
[  389111] CalendarModule.:94   | CalendarModule::queueData      | heap= 71208, largest= 23540 (33.1%)
[  389111] WebClientModule:346  | WebClient::accessResource      | heap= 71032, largest= 23540 (33.1%)
[  389111] CuriousHolidays:315  | CuriousHolidaysModule::queueDat | heap= 71208, largest= 23540 (33.1%)
[  389111] WebClientModule:346  | WebClient::accessResource      | heap= 71128, largest= 23540 (33.1%)
[  389112] WeatherModule.c:138  | WeatherModule::queueData       | heap= 71208, largest= 23540 (33.1%)
[  389112] WebClientModule:346  | WebClient::accessResource      | heap= 70532, largest= 23540 (33.4%)
[  389112] ThemeParkModule:154  | ThemeParkModule::queueData     | heap= 71208, largest= 23540 (33.1%)
[  389114] TankerkoenigMod:240  | Tankerkoenig::processData      | heap= 71208, largest= 23540 (33.1%)
