=== Heap Fragmentation Log ===
Date/Time: 2026-01-17 12:04:12
Timestamp: 27497 ms
Current Heap: free=77920, largestBlock=35828 (46.0%), freeBlocks=13
Baseline: largestBlock=233460 (set 26391 ms ago)
Degradation: 197632 bytes (84.7% loss from baseline)

=== Recent Operations (last 300) ===
[   27180] WebClientModule:346  | WebClient::accessResource      | heap= 78840, largest= 35828 (45.4%)
[   27181] CalendarModule.:94   | CalendarModule::queueData      | heap= 78936, largest= 35828 (45.4%)
[   27181] WebClientModule:346  | WebClient::accessResource      | heap= 78760, largest= 35828 (45.5%)
[   27181] CuriousHolidays:315  | CuriousHolidaysModule::queueDat | heap= 78936, largest= 35828 (45.4%)
[   27182] WebClientModule:346  | WebClient::accessResource      | heap= 78904, largest= 35828 (45.4%)
[   27182] WeatherModule.c:138  | WeatherModule::queueData       | heap= 78984, largest= 35828 (45.4%)
[   27183] WebClientModule:346  | WebClient::accessResource      | heap= 78308, largest= 35828 (45.8%)
[   27183] WebClientModule:346  | WebClient::accessResource      | heap= 78792, largest= 35828 (45.5%)
[   27183] ThemeParkModule:154  | ThemeParkModule::queueData     | heap= 78984, largest= 35828 (45.4%)
[   27184] TankerkoenigMod:240  | Tankerkoenig::processData      | heap= 78984, largest= 35828 (45.4%)
[   27185] DartsRankingMod:448  | DartsRankingModule::processData | heap= 78984, largest= 35828 (45.4%)
[   27185] SofaScoreLiveMo:821  | SofaScore::processData         | heap= 78984, largest= 35828 (45.4%)
[   27185] CalendarModule.:112  | CalendarModule::processData    | heap= 78984, largest= 35828 (45.4%)
[   27185] CuriousHolidays:368  | CuriousHolidaysModule::processD | heap= 78984, largest= 35828 (45.4%)
[   27185] WeatherModule.c:204  | WeatherModule::processData     | heap= 78984, largest= 35828 (45.4%)
[   27186] ThemeParkModule:304  | ThemeParkModule::processData   | heap= 78984, largest= 35828 (45.4%)
[   27197] TankerkoenigMod:222  | Tankerkoenig::queueData        | heap= 78984, largest= 35828 (45.4%)
[   27198] WebClientModule:346  | WebClient::accessResource      | heap= 78452, largest= 35828 (45.7%)
[   27198] DartsRankingMod:411  | DartsRankingModule::queueData  | heap= 78984, largest= 35828 (45.4%)
[   27198] WebClientModule:346  | WebClient::accessResource      | heap= 78936, largest= 35828 (45.4%)
[   27198] WebClientModule:346  | WebClient::accessResource      | heap= 78920, largest= 35828 (45.4%)
[   27199] SofaScoreLiveMo:646  | SofaScore::queueData           | heap= 78984, largest= 35828 (45.4%)
[   27199] WebClientModule:346  | WebClient::accessResource      | heap= 78904, largest= 35828 (45.4%)
[   27199] WebClientModule:346  | WebClient::accessResource      | heap= 78888, largest= 35828 (45.4%)
[   27200] CalendarModule.:94   | CalendarModule::queueData      | heap= 78984, largest= 35828 (45.4%)
[   27200] WebClientModule:346  | WebClient::accessResource      | heap= 78808, largest= 35828 (45.5%)
[   27200] CuriousHolidays:315  | CuriousHolidaysModule::queueDat | heap= 78984, largest= 35828 (45.4%)
[   27200] WebClientModule:346  | WebClient::accessResource      | heap= 78904, largest= 35828 (45.4%)
[   27201] WeatherModule.c:138  | WeatherModule::queueData       | heap= 78984, largest= 35828 (45.4%)
[   27201] WebClientModule:346  | WebClient::accessResource      | heap= 78308, largest= 35828 (45.8%)
[   27201] WebClientModule:346  | WebClient::accessResource      | heap= 78792, largest= 35828 (45.5%)
[   27202] ThemeParkModule:154  | ThemeParkModule::queueData     | heap= 78984, largest= 35828 (45.4%)
[   27203] TankerkoenigMod:240  | Tankerkoenig::processData      | heap= 78984, largest= 35828 (45.4%)
[   27203] DartsRankingMod:448  | DartsRankingModule::processData | heap= 78984, largest= 35828 (45.4%)
[   27203] SofaScoreLiveMo:821  | SofaScore::processData         | heap= 78984, largest= 35828 (45.4%)
[   27204] CalendarModule.:112  | CalendarModule::processData    | heap= 78984, largest= 35828 (45.4%)
[   27204] CuriousHolidays:368  | CuriousHolidaysModule::processD | heap= 78984, largest= 35828 (45.4%)
[   27204] WeatherModule.c:204  | WeatherModule::processData     | heap= 78984, largest= 35828 (45.4%)
[   27204] ThemeParkModule:304  | ThemeParkModule::processData   | heap= 78984, largest= 35828 (45.4%)
[   27247] TankerkoenigMod:222  | Tankerkoenig::queueData        | heap= 78984, largest= 35828 (45.4%)
[   27248] WebClientModule:346  | WebClient::accessResource      | heap= 78452, largest= 35828 (45.7%)
[   27248] DartsRankingMod:411  | DartsRankingModule::queueData  | heap= 78984, largest= 35828 (45.4%)
[   27248] WebClientModule:346  | WebClient::accessResource      | heap= 78936, largest= 35828 (45.4%)
[   27248] WebClientModule:346  | WebClient::accessResource      | heap= 78920, largest= 35828 (45.4%)
